ID,study_title,hypothesis_statement,effect_of_interest,statistical_result,df_t,t_statistic,p_value_t,es,ci_es,df1_f,df2_f,f_statistic,p_value_f,es_f,ci_f,preregistration,raw_data,access_raw_data,Any_stats?,p-values?,test_stats?,Df?,ES?,CI_ES?,,Colour Legend,
278,Grip socks improve slalom course performance and reduce in-shoe foot displacement of the forefoot in male and female sports players,"slender instep of the female foot (Wunderlich & Cavanagh, 2001) would result in increased in-shoe motion due to there being more space within the shoe. Grip socks may therefore have an increased perfor- mance benefit in female sports players.",main effect,"there was a significant main effect for sock condition (p = .001), with faster times in GS compared to RS (Table 5)",,,,,,,,,P < 0.05,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
279,Detrimental effects on executive function and mood following consecutive days of repeated highintensity sprint interval exercise in trained male sports players,We first hypothesised that a cumulative effect of multiple exercise bouts would have a negative effect on cognitive performance and mood on day 2 compared to day 1.,interaction effect,"A condition x day interaction effect (F(1,20)=6.24, p = 0.02, ηp2 = 0.21) revealed FCRT to be slower across day 2 in the exercise condition when compared to day 1 (p < 0.05) with no such effect in the control condition (Figure 2a).",,,,,,1,20,6.24,p = 0.02,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
280,A Single Bout of Premeal Resistance Exercise Improves Postprandial Glucose Metabolism in Obese Men with Prediabetes,"We hypothesized that a single bout of RE would reduce the glycemic response to a mixed meal by increasing glucose clearance rates, insulin sensitivity, and carbohydrate oxidation",difference of means,both the meal-induced rise in glucose Ra and Rd (Ra iAUC and Rd iAUC) were significantly reduced in the RE condition compared with rest (P = 0.002 for both measures; Fig. 3C and F).,,,p = 0.002,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
281,Blood Flow Restriction Combined with Electrical Stimulation Attenuates Thigh Muscle Disuse Atrophy,repeated BFR + EMS treatment would be more effective than repeated BFR treatment without EMS for attenuating the loss of quadriceps mass and knee extension strength during a 14-d leg unloading period.,interaction effect,"There was a statistically significant in- teraction by intervention group (partial η2 = 0.84, P = 0.004) over the course of the unloading period when considering whole-thigh lean tissue mass",,,,,,,,,P = 0.004,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
282,Continuous versus Intermittent Dieting for Fat Loss and Fat-Free Mass Retention in Resistance-trained Adults: The ICECAP Trial,"We hypothesized that, compared with moderate CER (mCER), moderate IER (mIER) will result in lower fat mass, with equivalent or greater fat-free mass at the end of 12 wk of energy restriction.",main effect,"There was no significant difference between groups (mIER and mCER) in our co-primary outcomes of fat mass (in kilograms) or fat-free mass (in kilograms) after 12 wk of energy restriction, which corresponds to 15 wk in the mIER intervention and 12 wk in the mCER intervention",,,,,,,,,not reported,not reported,no,no,no,,no,No,No,No,No,No,,,
283,Effect of Leg Eccentric Exercise on Muscle Damage of the Elbow Flexors after Maximal Eccentric Exercise,"The present study tested the hypotheses that the initial bout of knee extensor or KF maximal eccentric exercise would attenuate the extent of muscle damage induced by the subse- quent bout of maximal eccentric exercise of the EF, but the ipsilateral and contralateral sides of the leg exercise would not confer the protective effect on muscle damage by the EF eccentric exercise differently.",interaction effect,"The extent of muscle soreness devel- oped after EF MaxEC of the Cont-KE-EF, Ipsi-KE-EF, Cont- KF-EF, and Ipsi-KF-EF groups was similar to that of the first bout of the control group (interaction effect: P = 0.992, η2 = 0.035; Fig. 3).",,,,,,,,,p = 0.992,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
284,Effects of 150- and 450-mL Acute Blood Losses on Maximal Oxygen Uptake and Exercise Capacity,V ̇O and peak power output (W ̇ ) during incremental 2max peak exercise to exhaustion are maintained after BVR150mL but reduced after BVR450mL.,difference of means,"The reduction in V ̇ O2max per milliliter blood removed was larger after BVR450mL than after BVR150mL (−0.7 ± 0.3 vs −0.3 ± 0.6 mL·min−1·mL−1, respec- tively, P = 0.029)",,,P = 0.029,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
285,Effects of Judo on Neurocognitive Indices of Response Inhibition in Preadolescent Children: A Randomized Controlled Trial,"Based on the neurocognitive profile of martial arts athletes (29–31), greater increases in N2 negativity and/or P3a/b amplitudes over the intervention period were assumed in the judo training group compared with the control group.",interaction effect,"Moreover, there was a time–group interaction for N2 amplitude (F(1,40) = 6.0, P = 0.019, η2 = 0.13)",,,,,,1,40,6,p = 0.019,standardised,no,clinical trial,no,,Yes,Yes,Yes,Yes,standardised,No,,,
286,Effects of Prior Voluntary Hyperventilation on the 3-min All-Out Cycling Test in Men,We hy- pothesized that prior voluntary hyperventilation would in- crease WEP but decrease EP.,difference of means,"WEP was 10% higher in HYP than CONT (mean difference = 1.8 ± 1.8 kJ, 95% confidence interval [CI] = 0.7–3.0 kJ; t10 = 3.47, P = 0.006, dz = 1.05)",10,3.47,p = 0.006,both types are reported,"yes, only for the unstandardised",,,,,,,no,no,,Yes,Yes,Yes,Yes,Both,"yes, only for the unstandardised",,,
287,"Running into Fatigue: The Effects of Footwear on Kinematics, Kinetics, and Energetics",We hypothesized that using a racing flat shoe in comparison to a cushioned shoe leads to a more pronounced and earlier fatigue-related redistribution of positive work from distal to proximal joints during a fatiguing near-maximal effort run.,interaction effect,"No significant shoe by distance interaction ef- fects or shoe main effects for any joint work parameter other than for the negative work at the ankle were observed (Table 1) p = 0.259, n2p = 0.072",,,,,,,,,p = 0.259,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
288,Short- and Long-Term Stroboscopic Training Effects on Visuomotor Performance in Elite Youth Sports. Part 1: Reaction and Behavior,It was hypothesized that athletes training under stroboscopic conditions outperform the control group in both the laboratory and field test.,interaction effect,"a significant TIME–GROUP interaction was observed (F2,60 = 6.01, P = 0.004, η2p = 0.167)",,,,,,2,60,6.01,P = 0.004,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
289,The Change in Core Temperature and Sweating Response during Exercise Are Unaffected by Time of Day within the Wake Period,"It was hypothesized that when heat production is matched between a.m. and p.m., changes in core temperature and sweating would be similar.",main effect,"after accounting for the different absolute rectal temperature at baseline, the ΔTre throughout exercise was similar at a fixed Hprod between a.m. and p.m. at 7.5 W·kg−1 in 23°C (exercise time–time of day, P = 0.55; Fig. 1C) and 33°C (exercise time–time of day, P = 0.85; Fig. 1D), and 5.5 W·kg−1 in 33°C (exercise time– time of day, P = 0.22; Fig. 1D).",,,,,,,,,p = 0.55,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
290,The Effect of a Multi-ingredient Supplement on Resistance Training–induced Adaptations,"we hypothesized that the combined effect of whey protein, leucine, creatine, calcium citrate, and vitamin D, in addition to resistance training, would induce hypertrophy and increases in strength to a larger degree than resistance training with the placebo supplement in healthy young adults.",interaction effect,"Biceps brachii CSA and thickness increased significantly over time and showed a significant interaction of time and group (CSA, P = 0.006; thickness, P = 0.002).",,,,,,,,,p = 0.006,not reported,no,clinical trial,no,,Yes,Yes,No,No,No,No,,,
291,The Effect of Cycling-specific Vibration on Neuromuscular Performance,ibration increases sys- temic physiological demands such as oxygen consumption or heart rate in cycling,main effect,"Also, there was a sig- nificant main effect of vibration (P = 0.001, μ2 = 0.427)",,,,,,,,,p = 0.001,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
292,The Effects of Cannabidiol Oil on Noninvasive Measures of Muscle Damage in Men,"it was hypothesized that CBD may re- duce perceived muscle soreness and inflammation, and enhance performance recovery.",interaction effect,"there were no significant interactions between the experimental factors (condition  time; F(4,48) = 0.055, P > 0.05)",,,,,,4,48,0.055,P > 0.05,not reported,no,no,no,,Yes,Yes,Yes,Yes,No,No,,,
293,The effects of physical activity timing and complexity on episodic memory: A randomized controlled trial,"Physical activity before encoding was expected to result in superior long-term episodic

memory performance when compared to physical activity after encoding.",interaction effect,"Group X Time interaction F(4,84) =1.03, p =.379.",,,,,,4,84,1.03,p = 0.379,not reported,no,no,no,,Yes,Yes,Yes,Yes,No,No,,,
294,Effects of traditional and immersive video on anticipation in cricket: A temporal occlusion study,It was hypothesised that batters would predict the landing location of the ball with greater accuracy when viewing immersive videos compared to traditional videos (H1).,difference of means,"Pairwise comparisons showed that the immersive video condition prompted significantly greater prediction accuracy scores when compared to the traditional video condition (p =.037, 95% CI [0.25, 6.98]; see Figure 4).",,,p = 0.037,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
295,Affordance-based control in deceptive and non-deceptive penalties in soccer goalkeeping: Gender matters!,"the single underlying constraints (i.e., the goalkeepers’ maximum action capabilities defining the time required, or ball flight time and direction defining the time available) were different for female and male goalkeepers and gender differences in timing are expected to emerge.",main effect,"The ANOVA for the number of saves revealed a significant main effect for gender, F (1, 14) =5.05, p =.04, ηp 2 =0.27, and a significant gender by strategy interaction, F (1, 14) =6.32, p =.03, ηp 2 =0.31",,,,,,1,14,5.05,p =0.04,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
296,Perceptual-cognitive performance of youth soccer players in a 360◦-environment – Differences between age groups and performance levels,elite youth soccer players to show better perceptual-cognitive performance than sub-elite youth player,main effect,"a statistically significant main effect of performance level on 360-MOT performance was found, F (1,260) =4.76, p = .030, η2p =.02, with elite players having higher 360-MOT scores than sub-elite players.",,,,,,1,260,4.76,p = 0.03,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
297,Unimpaired performance during cognitive and visual manipulations in persons with anterior cruciate ligament reconstruction compared to healthy adults,"We hypothesized ACLR individuals would prioritize visual cognitive faculties and thus perform

better on cognitive tests that required visual scanning.",main effect,"The majority of cognitive analyses failed to detect a statistically significant effect […] (F = 0.33, p = 0.8 Cohen's f = 0.03)",,,,,,1,40,0.33,p = 0.8,standardised,no,no,no,,Yes,Yes,Yes,No,standardised,No,,,
298,How am I doing? Performance feedback mitigates the effects of mental fatigue on endurance exercise performance,We hypothesized that visual performance feedback would prevent mental fatigue from impairing endurance performance on a 5-min rhythmic muscular endurance handgrip task.,interaction effect,"revealed a main effect for test, F(1, 57) =19.08, p < .001, η2 =0.25, whereby force fell from pre-test (M =17.92 %MVC/s) to post-test (M = 16.78 %MVC/s), and a group by test interaction effect, F(2, 57) =7.22, p <.002, η2 =0.20",,,,,,2,57,7.22,p < 0.002,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
299,Effects of the function-specific instruction approach to neurofeedback training on frontal midline theta waves and golf putting performance,the FSI group would demonstrate a significant decrease in FMTpower compared with the TI and sham control (SC) groups during 2-s motor preparation after NFT,interaction effect,"There was a significant interaction between group and time, F(8, 58) =2.177, p =.043, Wilks’ lambda =0.591, ηp 2 =0.231, power =.809).",,,,,,8,58,2.177,p = 0.043,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
300,"Effects of acute endurance, strength, and coordination exercise interventions on attention in adolescents: A randomized controlled study",we hypothesized that the three exercise intervention groups would increase their attention test performance more that the control group.,main effect,"Contrast-coded analysis (+1, +1, +1, − 3 for the three intervention groups and the control group,

respectively) was significant, F(1, 75) =9.02, p =.004, ηp2 =0.11,",,,,,,1,75,9.02,p = 0.004,standardised,no,yes,yes,yes,Yes,Yes,Yes,Yes,standardised,No,,,
301,Protective effect of aerobic fitness on the detrimental influence of exhaustive exercise on information processing capacity,"if GXT affects cognitive measure beyond the mean level of performance, it is expected to see a performance change in resilience capacity independent of mean RT, providing an alternative explanation for the moderating role of aerobic fitness in the relationship

between HIE and inhibitory control change.",interaction effect,"Results revealed a main effect of Session [F (1, 63) = 4.59, p =.036, ηp2=0.068], which was superseded by a significant effect of Session ×Group interaction [F (1, 63) =5.54, p =.022, ηp

2=0.081].",,,,,,1,63,5.54,p = 0.022,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
302,"Effect of brief mindfulness and relaxation inductions on anxiety, affect and brain activation in athletes","MI and RI would both improve anxiety and affect, compared with a control condition.",interaction effect,"Two-way ANOVA revealed a time effect for SAI score [F(1, 34) = 17.11, p < .001, ηp2 = 0.34], which was superseded by a significant condition × time interaction [F(2, 68) = 6.48, p = .004, ηp2 = 0.16]. Post hoc analysis indicated that the decreased scores from pre-test to post-test in MI (37.83 ± 10.82 vs. 31.31 ± 9.44, p < .001) and RI (36.94 ± 9.51 vs. 32.00 ± 8.66, p < .001), but not control condition (34.86 ± 8.03 vs 34.06 ± 9.40, p = .536). There was no duration main effect, F(2, 173) =0.95, p =.39, η2 =0.01,",,,,,,2,68,6.48,p = 0.004,standardised,no,clinical trial,no,,Yes,Yes,Yes,Yes,standardised,No,,,
303,Effects of Stroop task duration on subsequent cognitive and physical performance,It was hypothesized that performance accuracy and speed would deteriorate with increased time-on-task,unclear,unclear,,,,,,Y,Y,Y,Y,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
304,The effect of planning time on penultimate and ultimate step kinematics and subsequent knee moments during sidestepping,"It was hypothesized that at FFC of the penultimate step, mediolateral stance foot placement relative to the whole-body COM would be more medial when the sidestep was planned, and athletes would have greater trunk lateral flexion and rotation away from the sidestep direction in both sidestepping conditions compared to straight-line running.",difference of means,Both sidestepping conditions were significantly greater (p < 0.05) than in RUN and greater in pSS compared with upSS (p = 0.01),,,,,,,,,p < 0.05,not reported,no,no,yes,yes,Yes,Yes,No,No,No,No,,,
305,Sex-related differences and effects of short and long trail running races on resting muscle-tendon mechanical properties,Lower resting skeletal muscle and tendon shear wave velocity (SWV) in females compared to males leading to potential lower exposure to muscle damage was hypothesized,interaction effect,not reported,,,,,,,,,not reported,not reported,no,clinical trial,no,,Yes,No,No,No,No,No,,,
306,Fatigue of hip abductor muscles implies neuromuscular and kinematic adaptations of the ankle during dynamic balance,"We hypothesized that there would be an impairment of dynamic balance and of the

ability to control inversion with hip abductor muscle fatigue, and greater impairment of ankle stability in females than in males.",main effect,"ANOVA results revealed the main effect of time for SEBT score (Figure 3) without a significant effect of sex, or interaction",,,,,,,,,p < 0.001,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
307,Statins effect on insulin resistance after a meal and exercise in hypercholesterolemic pre-diabetic individuals,"We hypothesized that if statins were causing insulin resistance, then statin withdrawal

should improve it",difference of means,Insulin was not altered by statin withdrawal in the fasted state (STAT 9±4 vs. PLAC 8±3 μIU·mL−1; p= 0.121),,,p = 0.121,not reported,not reported,,,,,,,clinical trial,no,,Yes,Yes,No,No,No,No,,,
308,Reducing the peak tibial acceleration of running by musicbased biofeedback: A quasi-randomized controlled trial,"We hypothesize that music-based biofeedback can be effective for running with lower impact

(ie, PTAa) during a multi-session protocol when motor learning principles are applied and self-discovery strategies are elicited",interaction effect,"There were significant group x time interactions for PTAa (F = 4.675, p = 0.044, ηP 2   =  0.206, ηG 2   =  0.031),",,,,,,1,18,4.675,p = 0.044,standardised,no,no,yes,yes,Yes,Yes,Yes,No,standardised,No,,,
309,Greater effects by performing a small number of eccentric contractions daily than a larger number of them once a week,"no significant increases in maximal voluntary contraction (MVC) torque and muscle thickness would be found after the training of six maximal eccentric contractions in 1 day per week, but the training of six maximal eccentric contractions in 1 day for 5days per week, and five sets of six maximal eccentric contractions in 1 day per week (30 eccentric contractions per week) would show increases in both MVC torque and muscle thickness.",main effect,"Significant differences among the groups were also evident for changes in  MVC-ECCAVE (F [2, 33]  =  7.901, p =  0.002, 휂2 p =  0.324)",,,,,,2,33,7.901,p = 0.002,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
310,The impacts of a combined exercise on executive function in children with ADHD: A randomized controlled trial,"EFs and sleep quality would be improved by combined exercise intervention in the two groups (i.e., experimental group [EG] vs. wait-list control group [CG]) of children with ADHD",interaction effect,"Significant group-by-time interaction effects for inhibition were observed (F = 12.197, p = 0.001, η 2  = 0.15). A follow-up of the simple main effects revealed that RT in incongruent trials decreased in the EG compared with the wait-list CG at Time 2 (F = 31.93, p<0.01, η 2  = 0.31; refer to Figure 2)",,,,,,1,66,12.197,p = 0.001,standardised,no,clinical trial,no,,Yes,Yes,Yes,No,standardised,No,,,
311,Cold water immersion improves recovery of sprint speed following a simulated tournament,"It was hypothesised that CWI in accordance with the majority of the litera- ture to date, would be effective at reducing DOMS, but have no effect on other markers of recovery.",interaction effect,"Perception of DOMS showed main effects of bout (F2,34 = 16.521, p < .001), time (F2,34 = 58.003, p < .001) and bout x time interactions (F4,68 = 8.774, p < .001)",,,,,,4,68,8.774,p < 0.001,not reported,no,no,no,,Yes,Yes,Yes,Yes,No,No,,,
312,Upper-body repeated-sprint training in hypoxia in international rugby union players,We hypothesized that completing only 4 sessions of upper-body RSH would potentially induce greater enhancement in RSA performance than RSN during an international competition period in senior International rugby union players.,interaction effect,"significant condition × time interactions were found in PPO (P<0.05, η2=0.02)",,,,,,,,,P < 0.05,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
313,"Effects of Pilates on fall risk factors in community- dwelling elderly women: A randomized, controlled trial","We hypothesized that a 12-week Pilates exercise pro- gramme would have positive effects and reduce the risk of falling by increasing balance confidence, decreas- ing the fear of falling, and improving postural control.",interaction effect,"The Group × Time interaction yielded statistically significant differences: F(1, 105) = 64.31, p < 0.001, η2 = 0.38,",,,,,,1,105,64.31,p < 0.001,standardised,no,clinical trial,no,,Yes,Yes,Yes,Yes,standardised,No,,,
314,The effect of acute caffeine ingestion on upper and lower body anaerobic exercise performance,We hypothesised that caffeine ingestion would enhance both mean and peak power both in the lower and upper body WANT.,main effect,"significant main effects for substance ingested (P = .001, Pη2 = .541)",,,,,,,,,p = 0.001,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
315,Moderate-intensity exercise performed in the evening does not impair sleep in healthy males,"If elevated core body temperature does impact sleep, then post-exercise sleep should not be impaired if core body temperature has returned to pre-exercise levels prior to bedtime.",main effect,"There was no effect of condition on total sleep time (F(2,10)=3.484, p = 0.071)7",,,,,,2,10,3.484,0.71,not reported,no,no,no,,Yes,Yes,Yes,Yes,No,No,,,
316,Ambient temperature influences metabolic substrate oxidation curves during running and cycling in healthy men,both MFO and Fatmax would be greater during exercise in a cold environment.,difference of means,Maximal fat oxidation during exercise was greater in the cold compared to warm during tread- mill (0.66 ± 0.31 vs. 0.43 ± 0.23 g min−1; p = 0.017),,,p = 0.017,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
318,Wearable resistance sprint running is superior to training with no load for retaining performance in pre-season training for rugby athletes,"We hypothesized that the WRT would decrease sprint running time, increase velocity, and positively influence the horizontal force-velocity mechanical variables",main effect,"ANCOVA results. Mean difference -0.07, p = 0.01, ES = 1.17",,,,,,,,,p = 0.01,both types are reported,no,no,no,,Yes,Yes,No,No,Both,No,,,
319,The effect of electrical muscle stimulation on quadriceps muscle strength and activation patterns in healthy young adults,EMS intervention induced improvement of muscle strength and different distribution of muscle activity,interaction effect,"The knee extension torque showed significant interaction between group and period (F (1, 30) = 32.09, p < 0.0001)",,,,,,1,30,32.09,p < 0.0001,not reported,no,no,no,,Yes,Yes,Yes,Yes,No,No,,,
320,Delayed potentiation effects on neuromuscular performance after optimal load and high load resistance priming sessions using velocity loss,a morning squat-based priming session may enhance neuromuscular performance and psychological readiness 6 hours after the end of the session.,main effect,"Results from one-way ANOVA showed a main effect of the priming session on CMJ height (F2,20=11.58; p<0.001; ηp2=0.537)",,,,,,2,20,11.58,p < 0.001,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
321,Four weeks of high-intensity interval training (HIIT) improve the cardiometabolic risk profile of overweight patients with type 1 diabetes mellitus (T1DM),we hypothesized that an individually designed “all-out” HIIT intervention would improve the metabolic risk profile to a greater extend in overweight compared to normal weight T1DM patients.,interaction effect,"A time×group effect was detected for LDL and UA levels, in that overweight participants presented reduced LDL levels by -6.61±10.02% and UA levels by -10.50±9.67% at follow-up (LDL, interaction p=0.042,",,,,,,1,20,4.74,p = 0.042,standardised,no,no,no,,Yes,Yes,Yes,No,standardised,No,,,
322,Effects of Four Different Velocity-Based Training Programming Models on Strength Gains and Physical Performance,"it was hypothesized that all programming models would induce similar performance adaptations in young moderately strength-trained men because they would be performed under similar intensities, volume, level of effort (i.e., VL in the set), and interset rest periods.",interaction effect,No significant “group” × “time” interactions were observed for any of the SQ strength variables (1RM: p = 0.18,,,,,,,,,p = 0.18,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
323,"Effects of Prolonging Eccentric Phase Duration in Parallel Back-Squat Training to Momentary Failure on Muscle Cross-Sectional Area, Squat One Repetition Maximum, and Performance Tests in University Soccer Players",We hypothesized that a longer and shorter ECC phase-duration program to momentary failure would produce similar training effects.,interaction effect,Interaction not reported,,,,,,,,,not reported,not reported,no,no,no,,Yes,No,No,No,No,No,,,
324,"Blunted hyperemic response to mental stress in young, non-Hispanic black men is not impacted by acute dietary nitrate supplementation","the forearm hyperemic response to mental stress would be blunted in young, BL men compared to young, WH men",difference of means,"However, during mental stress, peak FBF (Fig. 2B; P< 0.001) were attenuated in the BL individuals. ES = 2.034",,,p < 0.001,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
325,Slight power output manipulations around the maximal lactate steady state have a similar impact on fatigue in females and males,"females would show attenuated changes in NMF compared to males, particularly at the lowest intensity",difference of means,"All delta (Δ) values from baseline to min 30 for NMF variables are shown in Fig. 3. The Δ values for IMVC (η2p = 0.477) and Db100 (η2p = 0.276) showed differences among exercise intensities (all P < 0.05), wherein the ΔIMVC values were smaller for MLSS−10 compared to MLSS and MLSS+10 (all P < 0.001), the ΔDb100 values were larger for MLSS+10 compared to MLSS−10 and MLSS (all P < 0.05).",,,p < 0.001,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
326,Acute preexercise supplementation of combined carnosine and anserine enhances initial maximal power of Wingate tests in humans,"We hypothesized that the acute preexercise ingestion of pure carnosine and anserine would improve performance of the Wingate tests, especially in situations where fatigue is induced",difference of means,"No difference was found between the two conditions for mean power during the total Wingate. However, when consid- ering the mean power per 5 s, a signiﬁcant higher power was generated in the ﬁrst 5 s (during which the highest power is generated) after prior ingestion of the ANS þ CARN mixture compared with placebo (placebo 12.1 ± 2.2 W/kg vs. ANS þ CARN 12.8 ± 2.4 W/kg, P = 0.04)",,,p = 0.04,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
327,Tibial internal and external rotation taping for improving pain in patients with patellofemoral pain syndrome,"We hypothesized that, consistent with the un-derlying biomechanical model, tibial IRT would be the more effective interms of pain reduction",main effect,"Repeated measures ANOVA showed that compared with no taping, IRT and ERT were both effective at improving pain during the three clinical tests (F = 224.10, p < 0.001, partial η2 = 0.94). For IRT and ERT, there was a tape direction effect whereby ERT was more effective than IRT (F = 4.90, p = 0.044, partial η2 = 0.26).",,,,,,2,28,4.9,p = 0.044,standardised,no,no,no,,Yes,Yes,Yes,No,standardised,No,,,
328,Combining Plant Sterols With Walking Lowers Postprandial Triacylglycerol More Than Walking Only in Chinese Men With Elevated Body Mass Index,combining dietary PS supplementation with daily brisk walking could reduce postprandial TAG concentrations in healthy Chinese men with elevated BMI.,interaction effect,"Changes in fasting TAG differed among trials and over time (interaction, p = .006) increasing on PS-S compared with reductions on C-W (p = .019) and PS-W (p = .031).",,,,,,,,,p = 0.006,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
329,"Reduced Glucose Tolerance and Skeletal Muscle GLUT4 and IRS1 Content in Cyclists Habituated to a Long-Term Low-Carbohydrate, High-Fat Diet","Reduced Glucose Tolerance and Skeletal Muscle GLUT4 and IRS1 Content in Cyclists Habituated to a Long-Term Low-Carbohydrate, High-Fat Diet",main effect,There was a main effect of group on glucose AUC p = 0.007,,,,,,,,,p = 0.007,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
330,THE INCREASED EFFECTIVENESS OF RESISTANCE TRAINING ON UNSTABLE VERSUS STABLE SURFACES ON SELECTED MEASURES OF PHYSICAL PERFORMANCE IN YOUNG MALE SOCCER PLAYERS,we hypothesized that unstable resistance training would induce larger adaptations on some measures of physical performance compared with stable resistance training in young male soccer players.,interaction effect,"For the RSAbest, no significant main effect of time was shown (p=0.06, ES=0.1), with a significant group × time interaction (p=0.007, ES=0.1).",,,,,,,,,p = 0.007,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
331,Real-Time Visual Biofeedback via Wearable Ultrasound Imaging Can Enhance the Muscle Contraction Training Outcome of Young Adults,"It was hypothesized that the proposed system and measurement method are reliable, and the thickness change of the PMaj increases with RUSI biofeedback during the pec fly exercise that performed at low-moderate and high loads in healthy young male subjects.",main effect,significant main effects of “biofeedback” (p < 0.001) and “intensity” factors (p = 0.023) in PMaj thickness change were identified,,,,,,,,,p < 0.001,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
332,"Effect of brain endurance training on maximal oxygen uptake, time-to-exhaustion, and inhibitory control in runners",BET improves time-to-exhaustion (without changing VO2max) and inhibitory control than cognitive or endur- ance interventions,main effect,"There was found no main effect of group for time-to-exhaustion [F(2, 42)=0.97; p=0.38 (CI95%=0.32– 0.53); ηp2=0.01 (CI95%=0.004–0.02); ES=small]. There was a significant group×time interaction for time-to- exhaustion [F(2, 42) = 19.08; p = 0.001 (CI95% = 0.001– 0.01); ηp2=0.11 (CI95%=0.08–0.19); ES=large]. Post-hoc test showed an increase in time-to-exhaustion from baseline (CT = 45.66 ± 8.30 min; ET = 45.93 ± 8.89 min; BET = 47.20 ± 9.54 min) for post-experiment (CT=45.20±8.46, Δ%=1.00; ET=49.80±8.81, Δ%=8.42; BET=52.40±8.87min, Δ%=11.01) only for ET and BET groups (p < 0.05).",,,,,,2,42,0.97,P = 0.38,standardised,yes,no,no,,Yes,Yes,Yes,Yes,standardised,Yes,,,
333,"Aerobic high-intensity intervals improve V̇O2max more than supramaximal sprint intervals in females, similar to males",HIIT 4 × 4 min would improve VȮ 2max and long-distance endurance performance more than both SIT protocols,difference of means,No interaction and main effect of group report. 4X4 elicited higher VO2max than SIT 8x20 p = 0.002,,,p = 0.02,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
334,Similar patterns of tendon regional hypertrophy after low- load blood flow restriction and high-load resistance training,"Given the low mechanical stress with BFR training, we hypothesized that the low loading of LL-BFR may not elicit a region-specific hypertrophic response as delineated with HL training.",interaction effect,"No significant interaction F(1,27) = 0.1, p = 0.754, n2p = 0.004, 95%CI n2p [0.00, 0.15]",,,,,,2,127,0.1,p = 0.754,standardised,yes,no,no,,Yes,Yes,Yes,Yes,standardised,Yes,,,
335,Resistance training volume does not influence lean mass preservation during energy restriction in trained males,We hypothesized that high-volume resistance training would better maintain skeletal muscle contractility during caloric restriction.,interaction effect,Group × time: p = 0.852,,,,,,,,,p = 0.852,not reported,no,clinical trial,no,,Yes,Yes,No,No,No,No,,,
336,Effects of plyometric training on different 8-week training intensity distributions in well-trained endurance runners,"our hypothesis was that plyometrics could have a positive effect on running performance re- gardless of the TID utilized, but the magnitude of this ef- fect might be different as different physiological patterns are involved during the training programs",interaction effect,"For vBLa4, there was a significant main effect of time (F [1, 56] = 48.7; p < 0.0001; n2p = 0.21 and an interaction groupxtime (F[3,56] = 3.4; p = 0.0235, n2p = 0.07), while no main effect of group (F [3, 56] = 0.1; p = 0.9794; np2 = 0.01)",,,,,,3,56,3.4,0.0235,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
337,The impact of exercise modality on exercise-induced gastrointestinal syndrome and associated gastrointestinal symptoms,"it was hypothesised that running exercise would result in greater intestinal epithelium injury, endotoxin translocation, systemic inflammatory response, and GIS, compared to cycling exercise at a similar workload and environmental conditions.",difference of means,No significant differences between running and cycling for gut discomfort p = 0.401,,,p = 0.401,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
